id,familyKey,familyName,name,familyNameAr,nameAr,DozenPrice,pcsPerCarton,cartonPrice,imageFile,imageExists,badge,badgeAr,enabled,varianttype,varianttypeAr,rowType,sortOrder,printed
73,Gawhara,,Al Gawhara Fluorescent Printed,,الجوهرة فسفورى مطبوع,60,40,2400,Al Gawhara Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
family-Kawafeer,Kawafeer,Kawafeer Combs,,أمشاط كوافير,,,,,,FALSE,,,1,,,parent,16,FALSE
75,Kawafeer,,Kawafeer Colors,,كوافير الوان,18,192,3456,Kawafeer Colors.jpg,TRUE,,,1,,,,,FALSE
76,Kawafeer,,Kawafeer Two-Tone Colors,,كوافير 2 لون,30,120,3600,Kawafeer Two-Tone Colors.jpg,TRUE,,,1,,,,,FALSE
77,Kawafeer,,Kawafeer Fluorescent Printed,,كوافير فسفورى مطبوع,60,40,2400,Kawafeer Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
78,Kawafeer,,Kawafeer Black Printed,,كوافير اسود مطبوع,60,40,2400,Kawafeer Black Printed.jpg,FALSE,,,1,,,,,TRUE
79,Kawafeer,,Kawafeer Two-Tone Colors Printed,,كوافير 2 لون مطبوع,60,40,2400,Kawafeer Two-Tone Colors Printed.jpg,TRUE,,,1,,,,,TRUE
80,Kawafeer,,Kawafeer Glass Colors Printed,,كوافير زجاج الوان مطبوع,80,40,3200,Kawafeer Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
81,Kawafeer,,Kawafeer Glass Honey Printed,,كوافير زجاج عسلى مطبوع,80,40,3200,Kawafeer Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
family-Karma,Karma,Karma Combs,,أمشاط كارما,,,,,,FALSE,,,1,,,parent,17,FALSE
82,Karma,,Karma Fluorescent,,كارمـا فسفورى,30,120,3600,Karma Fluorescent.jpg,TRUE,,,1,,,,,FALSE
83,Karma,,Karma Colors,,كارمـا الوان,15,120,1800,Karma Colors.jpg,TRUE,,,1,,,,,FALSE
84,Karma,,Karma Black,,كارمـا اسود,15,120,1800,Karma Black.jpg,TRUE,,,1,,,,,FALSE
85,Karma,,Karma Two-Tone Colors,,كارمـا 2 لون,27,120,3240,Karma Two-Tone Colors.jpg,TRUE,,,1,,,,,FALSE
86,Karma,,Karma Fluorescent Printed,,كارمـا فسفورى مطبوع,60,40,2400,Karma Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
87,Karma,,Karma Glass Colors Printed,,كارما زجاج الوان مطبوع,80,40,3200,Karma Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
88,Karma,,Karma Glass Honey Printed,,كارما زجاج عسلى مطبوع,80,40,3200,Karma Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
family-Leader,Leader,Leader Combs,,أمشاط ليدر,,,,,,FALSE,,,1,,,parent,18,FALSE
89,Leader,,Leader Colors,,ليدر الوان,24,96,2304,Leader Colors.jpg,TRUE,,,1,,,,,FALSE
90,Leader,,Mesht Leader Fluorescent Printed,,ليدر فسفورى مطبوع,60,40,2400,Mesht Leader Fluorescent Printed.jpg,FALSE,,,1,,,,,TRUE
91,Leader,,Mesht Leader Glass Printed,,ليدر زجاج مطبوع,80,40,3200,Mesht Leader Glass Printed.jpg,TRUE,,,1,,,,,TRUE
family-Rody,Rody,Rody Combs,,أمشاط رودي,,,,,,FALSE,,,1,,,parent,19,FALSE
92,Rody,,Mesht Rody Colors,,رودى الوان,27,100,2700,Mesht Rody Colors.jpg,TRUE,,,1,,,,,FALSE
93,Rody,,Mesht Rody Fluorescent,,رودى فسفورى,50,100,5000,Mesht Rody Fluorescent.jpg,TRUE,,,1,,,,,FALSE
94,Rody,,Mesht Rody Two-Tone Colors,,رودى 2 لون,42,100,4200,Mesht Rody Two-Tone Colors.jpg,FALSE,,,1,,,,,FALSE
95,Rody,,Rody Two-Tone Colors Printed,,رودى 2 لون مطبوع,70,40,2800,Rody Two-Tone Colors Printed.jpg,FALSE,,,1,,,,,TRUE
family-TwoNahia,TwoNahia,2 Nahia Combs,,أمشاط 2 ناحية,,,,,,FALSE,,,1,,,parent,20,FALSE
96,TwoNahia,,2 Nahia Colors,,2 ناحية الوان,10,180,1800,2 Nahia Colors.jpg,TRUE,,,1,,,,,FALSE
97,TwoNahia,,2 Nahia Glass Colors Printed,,2 ناحية زجاج الوان مطبوع,40,40,1600,2 Nahia Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
98,TwoNahia,,2 Nahia Glass Honey Printed,,2 ناحية زجاج عسلى مطبوع,40,40,1600,2 Nahia Glass Honey Printed.jpg,FALSE,,,1,,,,,TRUE
99,TwoNahia,,2 Nahia Fluorescent Printed,,2 ناحية فسفورى مطبوع,40,40,1600,2 Nahia Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
100,TwoNahia,,2 Nahia Black Printed,,2 ناحية اسود مطبوع,20,40,800,2 Nahia Black Printed.jpg,TRUE,,,1,,,,,TRUE
family-ThreeNahia,ThreeNahia,3 Nahia Combs,,أمشاط 3 ناحية,,,,,,TRUE,,,1,,,parent,21,FALSE
101,ThreeNahia,,3 Nahia Colors,,3 ناحية الوان,25,60,1500,3 Nahia Colors.jpg,FALSE,,,1,,,,,FALSE
102,ThreeNahia,,3 Nahia Black Set,,3 ناحية اسود طقم,20,100,2000,3 Nahia Black Set.jpg,TRUE,,,1,,,,,FALSE
103,ThreeNahia,,3 Nahia Black Printed,,3 ناحية اسود مطبوع,25,60,1500,3 Nahia Black Printed.jpg,TRUE,,,1,,,,,TRUE
104,ThreeNahia,,3 Nahia Glass Honey Printed,,3 ناحية زجاج عسلى مطبوع,80,40,3200,3 Nahia Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
105,ThreeNahia,,3 Nahia Glass Colors Printed,,3 ناحية زجاج الوان مطبوع,80,40,3200,3 Nahia Glass Colors Printed.jpg,TRUE,,,1,,,,,TRUE
106,ThreeNahia,,3 Nahia Two-Tone Colors Printed,,3 ناحية 2 لون مطبوع,30,40,1200,3 Nahia Two-Tone Colors Printed.jpg,FALSE,,,1,,,,,TRUE
family-Carmen,Carmen,Carmen Fly,,فلايات كارمن,,,,,,FALSE,,,1,,,parent,22,FALSE
107,Carmen,,Carmen White Lux,,كارمن ابيض لوكس,30,240,7200,Carmen White Lux.jpg,TRUE,,,1,,,,,FALSE
108,Carmen,,Carmen White,,كارمن ابيض,16,240,3840,Carmen White.jpg,TRUE,,,1,,,,,FALSE
109,Carmen,,Carmen Fluorescent,,كارمن فسفورى,30,240,7200,Carmen Fluorescent.jpg,TRUE,,,1,,,,,FALSE
110,Carmen,,Carmen Colors,,كارمن الوان,16,240,3840,Carmen Colors.jpg,TRUE,,,1,,,,,FALSE
111,Carmen,,Carmen Black,,كارمن اسود,16,240,3840,Carmen Black.jpg,TRUE,,,1,,,,,FALSE
112,Carmen,,Carmen Green,,كارمن ابيض علبة اخضر,25,240,6000,Carmen Green.jpg,TRUE,,,1,,,,,FALSE
family-Miro,Miro,Miro Fly,,فلايات ميرو,,,,,,FALSE,,,1,,,parent,23,FALSE
113,Miro,,Miro Fluorescent,,ميــرو فسفورى,30,240,7200,Miro Fluorescent.jpg,TRUE,,,1,,,,,FALSE
114,Miro,,Miro Colors,,ميــرو الوان,16,240,3840,Miro Colors.jpg,TRUE,,,1,,,,,FALSE
115,Miro,,Miro A Sfr,,ميــرو اصفر,30,240,7200,Miro A Sfr.jpg,TRUE,,,1,,,,,FALSE
117,Miro,,Miro Black,,ميــرو اسود,17,240,4080,Miro Black.jpg,FALSE,,,1,,,,,FALSE
